Indicator,Group,State,Subgroup,Phase,"Time Period","Time Period Label","Time Period Start Date","Time Period End Date",Value,LowCI,HighCI,"Confidence Interval","Quartile range","Quartile number","Suppression Flag"
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,8.7,5.9,12.2,"5.9 - 12.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,18.7,15.3,22.6,"15.3 - 22.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Less than a high school diploma",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,21.8,15.6,29.2,"15.6 - 29.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","High school diploma or GED",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,13.6,11.8,15.6,"11.8 - 15.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Some college/Associate's degree",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,18.1,16.6,19.6,"16.6 - 19.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Bachelor's degree or higher",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,11.9,11.2,12.7,"11.2 - 12.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","With disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,30.2,27.4,33.2,"27.4 - 33.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","Without disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,12.9,11.9,13.9,"11.9 - 13.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By State","New York","New York",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,18.1,12.9,24.4,"12.9 - 24.4",17.3-32.5,4,
"Ever had COVID","National Estimate","United States","United States",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,48.2,47.3,49.1,"47.3 - 49.1",,,
"Ever had COVID","By Age","United States","18 - 29 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,55.4,53,57.8,"53.0 - 57.8",,,
"Ever had COVID","By Age","United States","30 - 39 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,55.9,53.8,58,"53.8 - 58.0",,,
"Ever had COVID","By Age","United States","40 - 49 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,55.6,53.6,57.7,"53.6 - 57.7",,,
"Ever had COVID","By Age","United States","50 - 59 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,47.5,45.5,49.5,"45.5 - 49.5",,,
"Ever had COVID","By Age","United States","60 - 69 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,39,37.3,40.7,"37.3 - 40.7",,,
"Ever had COVID","By Age","United States","70 - 79 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,32.4,30.3,34.6,"30.3 - 34.6",,,
"Ever had COVID","By Age","United States","80 years and above",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,31.8,25.5,38.7,"25.5 - 38.7",,,
"Ever had COVID","By Sex","United States",Male,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,46.9,45.6,48.2,"45.6 - 48.2",,,
"Ever had COVID","By Sex","United States",Female,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,49.5,48.4,50.7,"48.4 - 50.7",,,
"Ever had COVID","By Gender identity","United States","Cis-gender male",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,46.9,45.6,48.3,"45.6 - 48.3",,,
"Ever had COVID","By Gender identity","United States","Cis-gender female",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,49.6,48.5,50.8,"48.5 - 50.8",,,
"Ever had COVID","By Gender identity","United States",Transgender,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,57.3,47.5,66.8,"47.5 - 66.8",,,
"Ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,49.4,44.4,54.3,"44.4 - 54.3",,,
"Ever had COVID","By Sexual orientation","United States",Straight,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,48,47,49,"47.0 - 49.0",,,
"Ever had COVID","By Sexual orientation","United States",Bisexual,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,55,50.8,59.2,"50.8 - 59.2",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,53.3,50.2,56.5,"50.2 - 56.5",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,47.8,47,48.7,"47.0 - 48.7",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,41.9,39.2,44.6,"39.2 - 44.6",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,44,40.3,47.8,"40.3 - 47.8",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,54,50.6,57.3,"50.6 - 57.3",,,
"Ever had COVID","By Education","United States","Less than a high school diploma",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,45,39.7,50.4,"39.7 - 50.4",,,
"Ever had COVID","By Education","United States","High school diploma or GED",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,44.9,43.1,46.7,"43.1 - 46.7",,,
"Ever had COVID","By Education","United States","Some college/Associate's degree",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,49.7,48.1,51.4,"48.1 - 51.4",,,
"Ever had COVID","By Education","United States","Bachelor's degree or higher",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,50.9,50.1,51.7,"50.1 - 51.7",,,
"Ever had COVID","By Disability status","United States","With disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,46.2,44.1,48.3,"44.1 - 48.3",,,
"Ever had COVID","By Disability status","United States","Without disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,47.6,46.6,48.7,"46.6 - 48.7",,,
"Ever had COVID","By State","New York","New York",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,53.3,47.5,59.1,"47.5 - 59.1",50.2-53.3,4,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","National Estimate","United States","United States",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,81.4,78.8,83.9,"78.8 - 83.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","18 - 29 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,86.3,79.8,91.3,"79.8 - 91.3",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","30 - 39 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,80.3,74.4,85.4,"74.4 - 85.4",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","40 - 49 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,76.1,70,81.5,"70.0 - 81.5",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","50 - 59 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,84.7,79.6,88.8,"79.6 - 88.8",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","60 - 69 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,80.8,74.3,86.3,"74.3 - 86.3",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","70 - 79 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,81.7,70.8,89.9,"70.8 - 89.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Male,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,83,78.6,86.9,"78.6 - 86.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Female,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,80.4,77.5,83.1,"77.5 - 83.1",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender male",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,82.1,77.3,86.2,"77.3 - 86.2",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender female",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,80.2,77.1,83,"77.1 - 83.0",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Straight,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,80.1,77.1,82.8,"77.1 - 82.8",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Bisexual,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,86.9,79.6,92.4,"79.6 - 92.4",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,81.8,73.5,88.3,"73.5 - 88.3",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,80.1,77,83,"77.0 - 83.0",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,84.1,76.9,89.8,"76.9 - 89.8",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,76.7,59.4,89.2,"59.4 - 89.2",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","High school diploma or GED",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,82,75.2,87.5,"75.2 - 87.5",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Some college/Associate's degree",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,81,77.8,83.9,"77.8 - 83.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Bachelor's degree or higher",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,77.2,73.5,80.6,"73.5 - 80.6",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","With disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,90.2,86.9,92.9,"86.9 - 92.9",,,
"Any activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","Without disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,76.5,73.2,79.7,"73.2 - 79.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","National Estimate","United States","United States",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5.9,5.4,6.4,"5.4 - 6.4",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5.1,4.1,6.2,"4.1 - 6.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,6.1,5.2,7.2,"5.2 - 7.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,7,5.8,8.2,"5.8 - 8.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,7.3,6.3,8.4,"6.3 - 8.4",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5.3,4.4,6.2,"4.4 - 6.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,4.3,3.2,5.5,"3.2 - 5.5",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Male,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,4.7,4,5.4,"4.0 - 5.4",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Female,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,7.1,6.5,7.7,"6.5 - 7.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,4.4,3.8,5.1,"3.8 - 5.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,7,6.4,7.7,"6.4 - 7.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,13.6,8,21,"8.0 - 21.0",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,6.7,4.4,9.7,"4.4 - 9.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5.6,5.2,6.1,"5.2 - 6.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,8.7,6.4,11.6,"6.4 - 11.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,6.4,5.3,7.7,"5.3 - 7.7",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5.9,5.3,6.4,"5.3 - 6.4",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5,3.9,6.2,"3.9 - 6.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,3,1.9,4.5,"1.9 - 4.5",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,9.3,7.3,11.6,"7.3 - 11.6",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,9,5.9,13.1,"5.9 - 13.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5,4.2,5.9,"4.2 - 5.9",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,7.3,6.6,8.1,"6.6 - 8.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,4.7,4.4,5.1,"4.4 - 5.1",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,12.6,11.2,14.2,"11.2 - 14.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,4.8,4.4,5.2,"4.4 - 5.2",,,
"Any activity limitations from long COVID, as a percentage of all adults","By State","New York","New York",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,8.2,5.2,12.3,"5.2 - 12.3",7.0-14.6,4,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","National Estimate","United States","United States",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,25.1,22.6,27.8,"22.6 - 27.8",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","18 - 29 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,21.1,16,27,"16.0 - 27.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","30 - 39 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,19,13.7,25.3,"13.7 - 25.3",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","40 - 49 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,25.7,19.2,33.2,"19.2 - 33.2",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","50 - 59 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,26.4,20.5,33,"20.5 - 33.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","60 - 69 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,25.6,18.8,33.3,"18.8 - 33.3",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Age","United States","70 - 79 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,32.3,19.7,47.1,"19.7 - 47.1",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Male,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,27.9,22.4,33.8,"22.4 - 33.8",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sex","United States",Female,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,23.4,21,26,"21.0 - 26.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender male",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,25.6,19.9,31.9,"19.9 - 31.9",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Gender identity","United States","Cis-gender female",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,23.1,20.6,25.7,"20.6 - 25.7",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Straight,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,23.9,21,27,"21.0 - 27.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Sexual orientation","United States",Bisexual,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,20.8,14.1,28.9,"14.1 - 28.9",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,37,26.6,48.3,"26.6 - 48.3",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,19.8,17.1,22.7,"17.1 - 22.7",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,37.8,26.6,50.1,"26.6 - 50.1",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,31.6,22.5,42,"22.5 - 42.0",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","High school diploma or GED",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,25.5,19.9,31.8,"19.9 - 31.8",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Some college/Associate's degree",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,22.9,19.5,26.5,"19.5 - 26.5",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Education","United States","Bachelor's degree or higher",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,18.7,15.9,21.8,"15.9 - 21.8",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","With disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,36.8,31.6,42.3,"31.6 - 42.3",,,
"Significant activity limitations from long COVID, as a percentage of adults who currently have long COVID","By Disability status","United States","Without disability",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,17.3,13.8,21.2,"13.8 - 21.2",,,
"Significant activity limitations from long COVID, as a percentage of all adults","National Estimate","United States","United States",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.8,1.6,2.1,"1.6 - 2.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.2,0.9,1.6,"0.9 - 1.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.5,1,2,"1.0 - 2.0",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.4,1.6,3.3,"1.6 - 3.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.3,1.8,2.9,"1.8 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.7,1.1,2.3,"1.1 - 2.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.7,0.9,2.9,"0.9 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Male,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.6,1.2,2,"1.2 - 2.0",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sex","United States",Female,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.1,1.8,2.3,"1.8 - 2.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.4,1,1.8,"1.0 - 1.8",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2,1.8,2.3,"1.8 - 2.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,11.1,5.8,18.8,"5.8 - 18.8",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.7,1.5,1.9,"1.5 - 1.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.1,1.4,2.9,"1.4 - 2.9",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.9,2,4.1,"2.0 - 4.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.5,1.2,1.7,"1.2 - 1.7",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.2,1.5,3.3,"1.5 - 3.3",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,0.5,0.2,1,"0.2 - 1.0",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,3.2,2.2,4.6,"2.2 - 4.6",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,5,2.8,8.1,"2.8 - 8.1",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.6,1.2,2,"1.2 - 2.0",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,2.1,1.7,2.5,"1.7 - 2.5",,,
"Significant activity limitations from long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.6,49,"Sep 14 - Sep 26, 2022",9/14/2022,9/26/2022,1.1,1,1.4,"1.0 - 1.4",,,
